word,pos,AvgFreq,rn,ChatFreq,rn_chat,HumanFreq,rn_human,ChatFreqSig,HumanFreqSig
user,NOUN,3.1231582437011935,1,3.9772727272727271,2,2.26904376012966,2,0.85411448357153352,-0.85411448357153352
device,NOUN,2.7789800353617204,2,4.2613636363636358,1,1.2965964343598055,4,1.4823836010019154,-1.4823836010019149
light,NOUN,2.210798217179903,3,3.125,3,1.2965964343598055,5,0.914201782820097,-0.91420178282009745
people,NOUN,1.9458155296891118,4,1.1363636363636365,16,2.7552674230145868,1,-0.80945189332547529,0.80945189332547507
sound,NOUN,1.0143472815677028,5,1.7045454545454544,8,0.32414910858995138,60,0.69019817297775155,-0.69019817297775143
surface,NOUN,0.99431818181818177,6,1.9886363636363635,4,0.0,414,0.99431818181818177,-0.99431818181818177
task,NOUN,0.97336820391925749,7,1.1363636363636365,14,0.81037277147487841,13,0.16299543244437897,-0.16299543244437908
pillow,NOUN,0.93331000442021506,8,1.7045454545454544,6,0.16207455429497569,168,0.77123545012523931,-0.77123545012523942
wrist,NOUN,0.93331000442021506,9,1.7045454545454544,7,0.16207455429497569,169,0.77123545012523931,-0.77123545012523942
day,NOUN,0.93238912627081194,10,0.56818181818181823,56,1.2965964343598055,6,-0.36420730808899371,0.3642073080889936
level,NOUN,0.89233092677176962,11,1.1363636363636365,13,0.64829821717990277,20,0.24403270959186685,-0.24403270959186685
posture,NOUN,0.85227272727272718,12,1.7045454545454544,5,0.0,415,0.85227272727272718,-0.85227272727272718
massage,NOUN,0.81129364962428174,13,1.1363636363636365,15,0.48622366288492708,31,0.32506998673935472,-0.32506998673935467
other,NOUN,0.79126454987476058,14,1.4204545454545454,11,0.16207455429497569,170,0.62918999557978483,-0.62918999557978483
work,NOUN,0.79034367172535736,15,0.28409090909090912,200,1.2965964343598055,7,-0.50625276263444818,0.50625276263444818
bracelet,NOUN,0.750285472226315,17,0.85227272727272718,26,0.64829821717990277,21,0.10198725504641215,-0.10198725504641226
portable,ADJ,0.750285472226315,16,0.85227272727272718,18,0.64829821717990277,16,0.10198725504641215,-0.10198725504641226
wearable,NOUN,0.72933549432739064,18,0.0,481,1.4586709886547813,3,-0.72933549432739064,0.72933549432739064
display,NOUN,0.71022727272727271,19,1.4204545454545454,9,0.0,416,0.71022727272727271,-0.71022727272727271
name,NOUN,0.71022727272727271,20,1.4204545454545454,10,0.0,417,0.71022727272727271,-0.71022727272727271
interface,NOUN,0.70930639457786948,22,0.28409090909090912,169,1.1345218800648298,10,-0.42521548548696037,0.42521548548696031
space,NOUN,0.70930639457786948,21,0.28409090909090912,168,1.1345218800648298,9,-0.42521548548696037,0.42521548548696031
time,NOUN,0.70930639457786948,23,0.28409090909090912,170,1.1345218800648298,11,-0.42521548548696037,0.42521548548696031
screen,NOUN,0.64829821717990277,24,0.0,480,1.2965964343598055,8,-0.64829821717990277,0.64829821717990277
app,NOUN,0.62826911743038172,25,0.28409090909090912,208,0.97244732576985438,12,-0.3441782083394726,0.34417820833947266
interactive,ADJ,0.60824001768086045,26,0.56818181818181823,34,0.64829821717990277,17,-0.040058199499042213,0.040058199499042324
tangible,ADJ,0.60824001768086045,27,0.56818181818181823,35,0.64829821717990277,18,-0.040058199499042213,0.040058199499042324
ambience,NOUN,0.58821091793133928,28,0.85227272727272718,22,0.32414910858995138,61,0.2640618093413879,-0.2640618093413879
color,NOUN,0.58821091793133928,30,0.85227272727272718,24,0.32414910858995138,63,0.2640618093413879,-0.2640618093413879
person,NOUN,0.58821091793133928,31,0.85227272727272718,25,0.32414910858995138,64,0.2640618093413879,-0.2640618093413879
