,index,TopicID,screen,users,work,phone,people,nonverbal,hours,day,interface,wearable,ie,break,like,app,vibrates,spaces,space,could,sleep,laptop,study,time,based,able,working,interactive,noise,user,tables,wifi,know,device,lap,help,water,remind,devices,portable,dont,fun,depending
0,0,0,0.014,0.01,0.01,0.01,0.01,0.01,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,0.013,,,,,,,0.022,0.013,0.013,0.013,0.009,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,0.013,,0.016,,,,,,,,,,,0.01,0.01,0.009,0.007,0.007,0.007,,,,,,,,,,,,,,,,,,,,
3,3,3,,,,,0.017,,,0.015,,,,,,,,,,,,,,0.018,0.015,0.012,0.009,0.009,0.009,,,,,,,,,,,,,,
4,4,4,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.017,0.009,0.009,0.009,0.009,0.009,,,,,,,
5,5,5,,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.005,0.005,0.005,0.005
