vector,word,Maxpos,wordCount,percent_of_total
34,hydrated,ADJ,1,20.0
34,user,NOUN,1,20.0
34,water,NOUN,1,20.0
35,hand,NOUN,1,33.33333333333333
35,temperature,NOUN,1,33.33333333333333
35,warm,NOUN,1,33.33333333333333
36,able,ADJ,1,25.0
36,day,NOUN,1,25.0
36,glass,NOUN,1,25.0
36,time,NOUN,1,25.0
37,back,NOUN,1,33.33333333333333
37,cushion,NOUN,1,33.33333333333333
37,vibrate,NOUN,1,33.33333333333333
38,clipboard,NOUN,1,10.0
38,device,NOUN,1,10.0
38,ez,NOUN,1,10.0
38,info,NOUN,2,20.0
38,multiple,ADJ,1,10.0
38,note,NOUN,1,10.0
38,piece,NOUN,1,10.0
38,sort,NOUN,1,10.0
38,sticky,ADJ,1,10.0
39,device,NOUN,1,50.0
39,need,NOUN,1,50.0
40,ambience,NOUN,1,14.285714285714285
40,atmosphere,NOUN,1,14.285714285714285
40,kind,NOUN,1,14.285714285714285
40,light,NOUN,1,14.285714285714285
40,replicate,ADJ,1,14.285714285714285
40,sort,NOUN,1,14.285714285714285
40,sunlightcoffeeshopcheerful,ADJ,1,14.285714285714285
41,hand,NOUN,1,20.0
41,mousekeyboard,NOUN,1,20.0
41,smth,NOUN,1,20.0
41,strain,NOUN,1,20.0
41,wristsfinger,NOUN,1,20.0
42,ambience,NOUN,1,20.0
42,atmosphere,NOUN,1,20.0
42,headphone,NOUN,1,20.0
42,librarycoffeeshop,NOUN,1,20.0
42,pleasing,ADJ,1,20.0
43,schedule,NOUN,1,25.0
43,task,NOUN,1,25.0
43,visual,ADJ,1,25.0
43,wayalway,NOUN,1,25.0
51,computer,NOUN,1,25.0
51,portable,ADJ,1,25.0
51,screen,NOUN,2,50.0
52,bumpy,ADJ,1,20.0
52,desk,NOUN,1,20.0
52,portable,ADJ,1,20.0
52,ride,NOUN,1,20.0
52,stable,ADJ,1,20.0
53,portable,ADJ,1,20.0
53,unreliablenonexistent,ADJ,1,20.0
53,way,NOUN,1,20.0
53,wifi,NOUN,2,40.0
54,background,NOUN,1,16.666666666666664
54,call,NOUN,1,16.666666666666664
54,noise,NOUN,1,16.666666666666664
54,people,NOUN,1,16.666666666666664
54,video,NOUN,1,16.666666666666664
54,way,NOUN,1,16.666666666666664
55,app,NOUN,1,25.0
55,area,NOUN,1,25.0
55,question,NOUN,1,25.0
55,trivia,ADJ,1,25.0
56,area,NOUN,1,16.666666666666664
56,competition,NOUN,1,16.666666666666664
56,game,NOUN,2,33.33333333333333
56,other,ADJ,1,16.666666666666664
56,people,NOUN,1,16.666666666666664
57,people,NOUN,1,20.0
57,public,ADJ,1,20.0
57,room,NOUN,1,20.0
57,transportation,NOUN,1,20.0
57,vehicle,NOUN,1,20.0
58,audio,ADJ,1,33.33333333333333
58,flashcard,NOUN,1,33.33333333333333
58,question,NOUN,1,33.33333333333333
59,buddy,NOUN,1,8.333333333333332
59,collaborative,ADJ,1,8.333333333333332
59,commuting,NOUN,1,8.333333333333332
59,environment,NOUN,1,8.333333333333332
59,material,NOUN,1,8.333333333333332
59,route,NOUN,1,8.333333333333332
59,same,ADJ,2,16.666666666666664
59,study,NOUN,1,8.333333333333332
59,travel,NOUN,1,8.333333333333332
59,type,NOUN,1,8.333333333333332
59,working,NOUN,1,8.333333333333332
60,activist,NOUN,1,11.11111111111111
60,device,NOUN,2,22.22222222222222
60,fact,NOUN,1,11.11111111111111
60,field,NOUN,1,11.11111111111111
60,fun,NOUN,1,11.11111111111111
60,specific,ADJ,1,11.11111111111111
60,stoplike,NOUN,1,11.11111111111111
60,thing,NOUN,1,11.11111111111111
61,class,NOUN,1,7.142857142857142
61,collaboration,NOUN,1,7.142857142857142
61,crack,NOUN,1,7.142857142857142
61,gym,NOUN,1,7.142857142857142
61,material,NOUN,1,7.142857142857142
61,people,NOUN,1,7.142857142857142
61,random,ADJ,1,7.142857142857142
61,same,ADJ,1,7.142857142857142
61,similar,ADJ,1,7.142857142857142
61,specialized,ADJ,1,7.142857142857142
61,specific,ADJ,1,7.142857142857142
61,thing,NOUN,1,7.142857142857142
61,topic,NOUN,1,7.142857142857142
61,trivia,ADJ,1,7.142857142857142
62,app,NOUN,1,16.666666666666664
62,feature,NOUN,1,16.666666666666664
62,machine,NOUN,1,16.666666666666664
62,notification,NOUN,1,16.666666666666664
62,people,NOUN,1,16.666666666666664
62,phone,NOUN,1,16.666666666666664
63,noise,NOUN,1,14.285714285714285
63,outside,ADJ,1,14.285714285714285
63,public,ADJ,1,14.285714285714285
63,silencer,NOUN,1,14.285714285714285
63,sound,NOUN,1,14.285714285714285
63,space,NOUN,1,14.285714285714285
63,worker,NOUN,1,14.285714285714285
64,content,NOUN,2,22.22222222222222
64,eye,NOUN,1,11.11111111111111
64,flat,NOUN,1,11.11111111111111
64,outside,ADJ,1,11.11111111111111
64,person,NOUN,1,11.11111111111111
64,sensitiveconfidential,ADJ,1,11.11111111111111
64,side,NOUN,1,11.11111111111111
64,upper,ADJ,1,11.11111111111111
65,break,NOUN,1,20.0
65,technology,NOUN,1,20.0
65,user,NOUN,1,20.0
65,wearable,ADJ,1,20.0
65,work,NOUN,1,20.0
66,computer,NOUN,1,11.11111111111111
66,day,NOUN,1,11.11111111111111
66,everytime,NOUN,1,11.11111111111111
66,experience,NOUN,1,11.11111111111111
66,machine,NOUN,1,11.11111111111111
66,massage,NOUN,2,22.22222222222222
66,neckshoulder,NOUN,1,11.11111111111111
66,user,NOUN,1,11.11111111111111
67,breakseat,NOUN,1,5.555555555555555
67,control,NOUN,1,5.555555555555555
67,day,NOUN,2,11.11111111111111
