vector,word,Maxpos_x,wordCount_x,percent_of_total_x,Maxpos_y,wordCount_y,percent_of_total_y
1,design,NOUN,1,11.11111111111111,NOUN,1,0.2840909090909091
1,lamp,NOUN,1,11.11111111111111,NOUN,1,0.2840909090909091
1,light,NOUN,1,11.11111111111111,NOUN,11,3.125
12,light,NOUN,5,12.82051282051282,NOUN,11,3.125
13,light,ADJ,3,7.894736842105263,NOUN,11,3.125
38,light,NOUN,1,11.11111111111111,NOUN,11,3.125
50,light,NOUN,1,10.0,NOUN,11,3.125
1,meditation,NOUN,1,11.11111111111111,NOUN,1,0.2840909090909091
1,natural,ADJ,1,11.11111111111111,ADJ,2,0.5681818181818182
12,natural,ADJ,1,2.564102564102564,ADJ,2,0.5681818181818182
1,people,NOUN,1,11.11111111111111,NOUN,4,1.1363636363636365
35,people,NOUN,1,9.090909090909092,NOUN,4,1.1363636363636365
36,people,NOUN,1,9.090909090909092,NOUN,4,1.1363636363636365
37,people,NOUN,1,8.333333333333332,NOUN,4,1.1363636363636365
1,sleep,NOUN,1,11.11111111111111,NOUN,1,0.2840909090909091
1,sound,NOUN,1,11.11111111111111,NOUN,6,1.7045454545454544
4,sound,NOUN,2,33.33333333333333,NOUN,6,1.7045454545454544
13,sound,ADJ,1,2.631578947368421,NOUN,6,1.7045454545454544
37,sound,ADJ,1,8.333333333333332,NOUN,6,1.7045454545454544
38,sound,NOUN,1,11.11111111111111,NOUN,6,1.7045454545454544
1,therapy,NOUN,1,11.11111111111111,NOUN,1,0.2840909090909091
2,brainstorming,NOUN,1,10.0,NOUN,1,0.2840909090909091
2,collaborative,ADJ,1,10.0,ADJ,1,0.2840909090909091
2,facial,ADJ,1,10.0,ADJ,1,0.2840909090909091
2,gesture,NOUN,1,10.0,NOUN,1,0.2840909090909091
2,interactive,ADJ,1,10.0,ADJ,2,0.5681818181818182
5,interactive,ADJ,1,9.090909090909092,ADJ,2,0.5681818181818182
2,multitouch,ADJ,1,10.0,ADJ,1,0.2840909090909091
2,recognition,NOUN,1,10.0,NOUN,1,0.2840909090909091
2,session,NOUN,1,10.0,NOUN,1,0.2840909090909091
2,wallmounted,ADJ,1,10.0,ADJ,2,0.5681818181818182
5,wallmounted,ADJ,1,9.090909090909092,ADJ,2,0.5681818181818182
2,whiteboard,NOUN,1,10.0,NOUN,1,0.2840909090909091
3,ability,NOUN,1,5.88235294117647,NOUN,1,0.2840909090909091
3,different,ADJ,1,5.88235294117647,ADJ,1,0.2840909090909091
3,digital,ADJ,1,5.88235294117647,ADJ,3,0.8522727272727272
20,digital,ADJ,1,2.1739130434782608,ADJ,3,0.8522727272727272
21,digital,ADJ,1,2.5,ADJ,3,0.8522727272727272
3,metal,NOUN,1,5.88235294117647,NOUN,1,0.2840909090909091
3,other,ADJ,1,5.88235294117647,NOUN,5,1.4204545454545454
35,other,ADJ,1,9.090909090909092,NOUN,5,1.4204545454545454
36,other,NOUN,2,18.181818181818183,NOUN,5,1.4204545454545454
37,other,ADJ,1,8.333333333333332,NOUN,5,1.4204545454545454
3,paper,NOUN,1,5.88235294117647,NOUN,1,0.2840909090909091
3,pen,NOUN,2,11.76470588235294,NOUN,2,0.5681818181818182
3,plastic,NOUN,1,5.88235294117647,NOUN,3,0.8522727272727272
13,plastic,NOUN,1,2.631578947368421,NOUN,3,0.8522727272727272
21,plastic,NOUN,1,2.5,NOUN,3,0.8522727272727272
3,surface,NOUN,4,23.52941176470588,NOUN,7,1.9886363636363635
13,surface,NOUN,1,2.631578947368421,NOUN,7,1.9886363636363635
21,surface,NOUN,2,5.0,NOUN,7,1.9886363636363635
3,type,NOUN,1,5.88235294117647,NOUN,1,0.2840909090909091
3,user,NOUN,2,11.76470588235294,NOUN,14,3.977272727272727
5,user,NOUN,1,9.090909090909092,NOUN,14,3.977272727272727
13,user,NOUN,1,2.631578947368421,NOUN,14,3.977272727272727
20,user,NOUN,1,2.1739130434782608,NOUN,14,3.977272727272727
21,user,NOUN,2,5.0,NOUN,14,3.977272727272727
22,user,NOUN,4,14.285714285714285,NOUN,14,3.977272727272727
47,user,NOUN,1,33.33333333333333,NOUN,14,3.977272727272727
49,user,NOUN,1,12.5,NOUN,14,3.977272727272727
50,user,NOUN,1,10.0,NOUN,14,3.977272727272727
3,wood,NOUN,1,5.88235294117647,NOUN,1,0.2840909090909091
4,machine,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
4,rain,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
4,wave,NOUN,1,16.666666666666664,NOUN,2,0.5681818181818182
37,wave,NOUN,1,8.333333333333332,NOUN,2,0.5681818181818182
4,wind,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
5,display,NOUN,1,9.090909090909092,NOUN,5,1.4204545454545454
13,display,NOUN,1,2.631578947368421,NOUN,5,1.4204545454545454
20,display,NOUN,1,2.1739130434782608,NOUN,5,1.4204545454545454
21,display,NOUN,1,2.5,NOUN,5,1.4204545454545454
46,display,NOUN,1,25.0,NOUN,5,1.4204545454545454
5,location,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
5,public,ADJ,1,9.090909090909092,ADJ,1,0.2840909090909091
5,review,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
5,space,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
5,tablet,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
5,unit,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
5,work,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
12,adjustment,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,ambience,NOUN,3,7.6923076923076925,NOUN,3,0.8522727272727272
12,atmosphere,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,background,NOUN,1,2.564102564102564,NOUN,2,0.5681818181818182
13,background,NOUN,1,2.631578947368421,NOUN,2,0.5681818181818182
12,cafe,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,calming,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,changing,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,coffeeshop,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,color,NOUN,2,5.128205128205128,NOUN,3,0.8522727272727272
13,color,NOUN,1,2.631578947368421,NOUN,3,0.8522727272727272
12,cool,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,cozy,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,cycle,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,daylight,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,device,NOUN,2,5.128205128205128,NOUN,15,4.261363636363636
13,device,NOUN,3,7.894736842105263,NOUN,15,4.261363636363636
20,device,NOUN,2,4.3478260869565215,NOUN,15,4.261363636363636
21,device,NOUN,3,7.5,NOUN,15,4.261363636363636
37,device,NOUN,3,25.0,NOUN,15,4.261363636363636
49,device,NOUN,1,12.5,NOUN,15,4.261363636363636
50,device,NOUN,1,10.0,NOUN,15,4.261363636363636
12,environment,NOUN,1,2.564102564102564,NOUN,2,0.5681818181818182
50,environment,NOUN,1,10.0,NOUN,2,0.5681818181818182
12,feeling,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,intensity,NOUN,1,2.564102564102564,NOUN,3,0.8522727272727272
13,intensity,NOUN,1,2.631578947368421,NOUN,3,0.8522727272727272
20,intensity,NOUN,1,2.1739130434782608,NOUN,3,0.8522727272727272
12,jazz,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,level,NOUN,1,2.564102564102564,NOUN,4,1.1363636363636365
13,level,NOUN,1,2.631578947368421,NOUN,4,1.1363636363636365
39,level,NOUN,2,20.0,NOUN,4,1.1363636363636365
12,low,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,music,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
12,noise,NOUN,1,2.564102564102564,NOUN,2,0.5681818181818182
13,noise,NOUN,1,2.631578947368421,NOUN,2,0.5681818181818182
12,perfect,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,relaxing,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,simple,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,subtle,ADJ,1,2.564102564102564,ADJ,1,0.2840909090909091
12,warm,ADJ,2,5.128205128205128,ADJ,2,0.5681818181818182
12,yelloworange,NOUN,1,2.564102564102564,NOUN,1,0.2840909090909091
13,base,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,bright,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,button,NOUN,1,2.631578947368421,NOUN,2,0.5681818181818182
20,button,NOUN,1,2.1739130434782608,NOUN,2,0.5681818181818182
13,cm,NOUN,2,5.263157894736842,NOUN,4,1.1363636363636365
21,cm,NOUN,2,5.0,NOUN,4,1.1363636363636365
13,current,ADJ,1,2.631578947368421,ADJ,2,0.5681818181818182
21,current,ADJ,1,2.5,ADJ,2,0.5681818181818182
13,cylindrical,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,diameter,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,flat,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,front,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,height,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,knob,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,led,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,material,NOUN,1,2.631578947368421,NOUN,2,0.5681818181818182
21,material,NOUN,1,2.5,NOUN,2,0.5681818181818182
13,panel,NOUN,1,2.631578947368421,NOUN,1,0.2840909090909091
13,portable,ADJ,1,2.631578947368421,ADJ,3,0.8522727272727272
24,portable,ADJ,1,16.666666666666664,ADJ,3,0.8522727272727272
46,portable,ADJ,1,25.0,ADJ,3,0.8522727272727272
13,round,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,setting,NOUN,2,5.263157894736842,NOUN,2,0.5681818181818182
13,several,ADJ,1,2.631578947368421,ADJ,2,0.5681818181818182
20,several,ADJ,1,2.1739130434782608,ADJ,2,0.5681818181818182
13,small,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
13,white,ADJ,1,2.631578947368421,ADJ,1,0.2840909090909091
14,name,NOUN,1,100.0,NOUN,5,1.4204545454545454
16,name,NOUN,1,100.0,NOUN,5,1.4204545454545454
17,name,NOUN,1,100.0,NOUN,5,1.4204545454545454
18,name,NOUN,1,100.0,NOUN,5,1.4204545454545454
19,name,NOUN,1,100.0,NOUN,5,1.4204545454545454
15,cushion,NOUN,1,33.33333333333333,NOUN,1,0.2840909090909091
15,posture,NOUN,1,33.33333333333333,NOUN,6,1.7045454545454544
22,posture,NOUN,5,17.857142857142858,NOUN,6,1.7045454545454544
15,proper,ADJ,1,33.33333333333333,ADJ,1,0.2840909090909091
20,box,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,computer,NOUN,1,2.1739130434782608,NOUN,2,0.5681818181818182
21,computer,NOUN,1,2.5,NOUN,2,0.5681818181818182
20,control,NOUN,2,4.3478260869565215,NOUN,2,0.5681818181818182
20,day,NOUN,1,2.1739130434782608,NOUN,2,0.5681818181818182
21,day,NOUN,1,2.5,NOUN,2,0.5681818181818182
20,deep,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,dial,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,duration,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,ergonomic,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,forearm,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,gentle,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,hand,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,help,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,interface,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,long,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,massage,NOUN,4,8.695652173913043,NOUN,4,1.1363636363636365
20,mode,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,muscle,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,rest,NOUN,2,4.3478260869565215,NOUN,2,0.5681818181818182
20,shape,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,slider,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,soft,ADJ,1,2.1739130434782608,ADJ,2,0.5681818181818182
22,soft,ADJ,1,3.571428571428571,ADJ,2,0.5681818181818182
20,strain,NOUN,2,4.3478260869565215,NOUN,2,0.5681818181818182
20,such,ADJ,1,2.1739130434782608,ADJ,1,0.2840909090909091
20,tangible,ADJ,1,2.1739130434782608,ADJ,2,0.5681818181818182
21,tangible,ADJ,1,2.5,ADJ,2,0.5681818181818182
20,tissue,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,variety,NOUN,1,2.1739130434782608,NOUN,1,0.2840909090909091
20,wrist,NOUN,6,13.043478260869565,NOUN,6,1.7045454545454544
21,daytoday,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,durable,ADJ,1,2.5,ADJ,1,0.2840909090909091
21,finish,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,glossy,ADJ,1,2.5,ADJ,1,0.2840909090909091
21,length,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,list,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,one,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,progress,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,rectangular,ADJ,1,2.5,ADJ,1,0.2840909090909091
21,reminder,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,schedule,NOUN,3,7.5,NOUN,3,0.8522727272727272
21,smartphone,NOUN,1,2.5,NOUN,3,0.8522727272727272
22,smartphone,NOUN,1,3.571428571428571,NOUN,3,0.8522727272727272
50,smartphone,NOUN,1,10.0,NOUN,3,0.8522727272727272
21,smooth,ADJ,1,2.5,ADJ,1,0.2840909090909091
21,task,NOUN,4,10.0,NOUN,4,1.1363636363636365
21,todo,ADJ,1,2.5,ADJ,1,0.2840909090909091
21,top,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,track,NOUN,1,2.5,NOUN,1,0.2840909090909091
21,width,NOUN,1,2.5,NOUN,1,0.2840909090909091
22,bad,ADJ,1,3.571428571428571,ADJ,1,0.2840909090909091
22,breathable,ADJ,1,3.571428571428571,ADJ,1,0.2840909090909091
22,comfort,NOUN,1,3.571428571428571,NOUN,1,0.2840909090909091
22,fabric,NOUN,1,3.571428571428571,NOUN,1,0.2840909090909091
22,foam,NOUN,1,3.571428571428571,NOUN,1,0.2840909090909091
22,goal,NOUN,1,3.571428571428571,NOUN,1,0.2840909090909091
22,pillow,NOUN,5,17.857142857142858,NOUN,6,1.7045454545454544
45,pillow,NOUN,1,50.0,NOUN,6,1.7045454545454544
22,sensor,NOUN,1,3.571428571428571,NOUN,2,0.5681818181818182
36,sensor,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
22,smart,ADJ,2,7.142857142857142,ADJ,2,0.5681818181818182
22,supportive,ADJ,1,3.571428571428571,ADJ,1,0.2840909090909091
22,time,NOUN,1,3.571428571428571,NOUN,1,0.2840909090909091
22,well,ADJ,1,3.571428571428571,ADJ,1,0.2840909090909091
23,desk,NOUN,1,50.0,NOUN,2,0.5681818181818182
24,desk,NOUN,1,16.666666666666664,NOUN,2,0.5681818181818182
23,use,NOUN,1,50.0,NOUN,1,0.2840909090909091
24,access,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
24,point,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
24,router,NOUN,1,16.666666666666664,NOUN,1,0.2840909090909091
24,wireless,ADJ,1,16.666666666666664,ADJ,2,0.5681818181818182
35,wireless,ADJ,1,9.090909090909092,ADJ,2,0.5681818181818182
34,advice,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
34,augmented,ADJ,1,9.090909090909092,ADJ,1,0.2840909090909091
34,glass,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
34,motion,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
38,motion,NOUN,1,11.11111111111111,NOUN,2,0.5681818181818182
34,nausea,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
38,nausea,NOUN,1,11.11111111111111,NOUN,2,0.5681818181818182
34,pair,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
34,reality,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
34,realtime,ADJ,1,9.090909090909092,ADJ,1,0.2840909090909091
34,sickness,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
38,sickness,NOUN,1,11.11111111111111,NOUN,2,0.5681818181818182
34,sign,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
34,symptom,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
35,heart,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
35,necklace,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
38,necklace,NOUN,1,11.11111111111111,NOUN,2,0.5681818181818182
35,pendant,NOUN,2,18.181818181818183,NOUN,2,0.5681818181818182
35,pulse,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
35,rate,NOUN,1,9.090909090909092,NOUN,1,0.2840909090909091
35,sync,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
37,sync,NOUN,1,8.333333333333332,NOUN,2,0.5681818181818182
35,technology,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
36,technology,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
36,bracelet,NOUN,2,18.181818181818183,NOUN,3,0.8522727272727272
39,bracelet,NOUN,1,10.0,NOUN,3,0.8522727272727272
36,haptic,ADJ,1,9.090909090909092,ADJ,1,0.2840909090909091
36,heartbeat,NOUN,1,9.090909090909092,NOUN,2,0.5681818181818182
