word,Maxpos,wordCount
meet,VB,2
melatonin,NN,1
messag,NNS,1
metal,NN,1
microtask,NNS,1
mimic,VBP,1
min,NNS,2
mind,JJ,1
minim,VB,1
mitig,VBZ,1
mobil,JJ,4
mode,NNS,2
monitor,NNS,4
mood,NN,4
moodheartbeat,NN,1
motion,NN,5
motiv,VBZ,1
mous,NN,1
mousekeyboard,NN,1
move,VBP,5
much,JJ,1
multipl,JJ,2
multitouch,JJ,1
muscl,NNS,1
music,NN,2
musicsound,NNS,1
natur,JJ,3
nausea,NN,6
navig,VB,1
necklac,NN,2
neckshould,JJ,1
need,VBP,4
new,JJ,2
nois,NN,4
nonverb,JJ,2
note,NNS,2
notebook,NN,1
notif,NNS,5
occup,JJ,1
oil,NNS,1
olfactori,JJ,1
one,NNS,3
onlin,JJ,1
onto,JJ,1
open,VBZ,3
optim,JJ,1
organ,VBN,5
ornamentboard,NN,1
orphan,JJ,1
other,NNS,6
outsid,NN,3
overwhelm,VBG,1
own,JJ,1
pad,NN,1
pair,NN,3
panel,NN,1
paper,NN,2
parent,NN,1
pattern,NNS,3
peak,VB,1
pen,NN,3
pencil,NN,1
pendant,NNS,2
peopl,NNS,21
perceiv,VBN,1
perfect,JJ,1
peripher,NNS,1
person,NNS,9
pet,NN,1
phone,NN,5
phonelaptop,NN,1
photo,NN,3
physic,JJ,3
pictur,NNS,1
piec,NNS,2
pillow,NN,8
pin,VB,2
place,VBN,4
plan,NN,1
planner,NN,1
plastic,NN,3
platform,NN,2
play,VBZ,6
pleas,VBG,1
plushiestress,NN,1
pocket,NNS,1
point,NNS,2
poke,NN,1
pokemon,NN,1
pomodoro,NN,1
portabl,JJ,8
posit,NN,1
postur,NN,10
posturecorrect,VBG,1
practic,NNS,2
prefer,VBD,3
prepar,VB,2
preprogram,JJ,1
prevent,VBZ,3
printer,NN,1
product,NN,3
program,NN,1
progress,NN,3
promot,VBZ,2
prompt,VBZ,2
proper,JJ,2
provid,VBZ,5
proxim,NN,1
public,JJ,6
puls,NNS,3
put,VBD,3
question,NNS,2
rain,NN,1
random,JJ,2
rate,NN,5
reach,VBP,1
read,VBG,3
reader,NNS,1
real,JJ,1
realist,JJ,1
realiti,NN,2
realtim,JJ,1
recogn,VB,2
recognit,NN,1
rectangular,JJ,1
red,VBD,1
reduc,VBZ,10
reduct,NN,1
regul,VBZ,1
regular,JJ,1
relax,VBP,9
releas,VBZ,7
relief,NN,1
remind,VBZ,13
remot,JJ,1
remov,VBN,2
repli,VB,1
replic,NN,1
reprogram,VB,1
respawn,VBZ,1
respond,VBP,2
respons,NN,2
rest,VB,4
review,VB,3
ride,NNS,1
room,NNS,2
round,NN,1
rout,NNS,2
router,NN,1
routin,NN,1
same,JJ,4
save,VB,1
scan,VB,1
scent,NNS,6
scentsessenti,NN,1
schedul,NN,6
screen,VBP,8
see,VB,2
select,VB,1
send,VBZ,4
sens,VB,1
sensat,NNS,2
sensitiveconfidenti,JJ,1
sensor,NNS,5
sensori,JJ,2
sent,VBN,1
session,NNS,1
set,VB,8
setup,NN,1
sever,JJ,2
shakey,JJ,1
shape,NN,1
share,VBG,4
shine,NNS,1
show,VBZ,6
sick,NN,5
side,NN,2
sign,NNS,2
signal,NNS,3
silenc,VB,2
similar,JJ,1
simpl,JJ,1
simul,VB,2
sit,VBG,4
skin,JJ,1
sleep,VBG,7
sleepi,NN,1
sleepwak,VB,1
slider,NNS,1
slouch,VBG,4
small,JJ,1
smart,JJ,7
smartphon,NN,3
smile,NNS,1
smooth,JJ,1
smth,NN,1
soft,JJ,3
softwar,NN,1
solut,NN,1
someon,NN,3
someth,NN,4
sooth,JJ,1
sort,NN,2
sound,NNS,8
space,NNS,9
speak,VB,1
speaker,NN,2
special,JJ,2
specif,JJ,2
spin,VB,1
spot,NNS,3
spray,NNS,1
squeez,VBN,2
stabil,VBN,2
stabl,JJ,1
stand,NN,2
start,VB,2
stay,VBG,5
sticki,JJ,2
stop,VB,4
stoplik,NN,1
store,NNS,1
straight,NN,1
strain,NN,3
strength,NN,1
stress,VBN,8
studi,VBG,9
stuff,NN,1
subtl,JJ,1
such,JJ,2
suit,VB,1
sunlight,VBN,1
sunlightcoffeeshopch,JJ,1
support,VB,3
sure,JJ,1
surfac,NNS,7
surfacet,JJ,1
surround,VBG,2
symptom,NNS,1
sync,VBZ,4
synthesizesummar,VB,1
system,NN,1
tabl,NNS,5
tablet,NN,4
tactil,JJ,1
take,VBG,8
taken,VBN,1
talk,VB,2
tamogatchilik,NN,1
tangent,NN,1
tangibl,JJ,6
task,NNS,9
techfunction,NN,1
technolog,NN,3
tell,VBZ,3
temperatur,NN,3
tens,VBN,1
that,NNS,1
therapi,NN,2
therapist,NN,1
theyv,NN,1
thing,NNS,3
thingi,NN,1
threshold,NN,1
tie,VBN,2
time,NNS,9
tint,VBP,2
tissu,NN,1
todo,JJ,2
togeth,NN,1
took,VBD,1
top,NN,1
topic,NN,1
town,NN,1
toy,NN,1
track,VBZ,15
trainsubway,NN,1
transit,NN,1
transport,NN,1
travel,VBG,6
tray,NN,1
trigger,VBZ,1
trip,NNS,1
trivia,VB,2
tui,NN,2
turn,VB,1
tv,NN,1
type,NNS,4
u,NN,4
unit,NN,1
uniterrupt,JJ,1
unnecessari,JJ,1
unobtrus,JJ,1
unreliablenonexist,JJ,1
upload,NN,2
upper,JJ,1
ur,JJ,2
use,VBZ,17
user,NNS,35
util,VBZ,1
vapor,NN,2
varieti,NN,1
vehicl,NNS,1
viabrat,NNS,1
vibe,NN,1
vibrat,VBZ,13
video,NN,1
videoaudio,NN,1
virtual,JJ,1
visibl,JJ,2
visual,JJ,1
vital,NNS,1
voic,NN,1
vr,NN,1
wake,VB,1
walk,NN,1
wall,NN,1
wallmount,VBN,2
warm,VBZ,3
wasnt,NN,1
water,NN,3
wave,NNS,2
way,NN,3
wayalway,NNS,1
wear,VBG,2
wearabl,NNS,11
wearer,VBP,1
websit,NNS,2
weight,NNS,1
whatev,VB,1
white,JJ,1
whiteboard,NN,2
wifi,NNS,5
wind,NN,1
wireless,NN,4
wood,NN,1
work,VBP,24
worker,NNS,4
workspac,NN,1
worn,VBN,1
wrap,VBZ,1
wrist,NNS,8
wristband,NNS,1
wristsfing,NNS,1
write,VBG,3
yelloworang,NN,1
yoga,NN,1
