vector,word,Maxpos,wordCount,percent_of_total
21,glossy,ADJ,1,2.5
21,length,NOUN,1,2.5
21,list,NOUN,1,2.5
21,material,NOUN,1,2.5
21,one,NOUN,1,2.5
21,plastic,NOUN,1,2.5
21,progress,NOUN,1,2.5
21,rectangular,ADJ,1,2.5
21,reminder,NOUN,1,2.5
21,schedule,NOUN,3,7.5
21,smartphone,NOUN,1,2.5
21,smooth,ADJ,1,2.5
21,surface,NOUN,2,5.0
21,tangible,ADJ,1,2.5
21,task,NOUN,4,10.0
21,todo,ADJ,1,2.5
21,top,NOUN,1,2.5
21,track,NOUN,1,2.5
21,user,NOUN,2,5.0
21,width,NOUN,1,2.5
22,bad,ADJ,1,3.571428571428571
22,breathable,ADJ,1,3.571428571428571
22,comfort,NOUN,1,3.571428571428571
22,fabric,NOUN,1,3.571428571428571
22,foam,NOUN,1,3.571428571428571
22,goal,NOUN,1,3.571428571428571
22,pillow,NOUN,5,17.857142857142858
22,posture,NOUN,5,17.857142857142858
22,sensor,NOUN,1,3.571428571428571
22,smart,ADJ,2,7.142857142857142
22,smartphone,NOUN,1,3.571428571428571
22,soft,ADJ,1,3.571428571428571
22,supportive,ADJ,1,3.571428571428571
22,time,NOUN,1,3.571428571428571
22,user,NOUN,4,14.285714285714285
22,well,ADJ,1,3.571428571428571
23,desk,NOUN,1,50.0
23,use,NOUN,1,50.0
24,access,NOUN,1,16.666666666666664
24,desk,NOUN,1,16.666666666666664
24,point,NOUN,1,16.666666666666664
24,portable,ADJ,1,16.666666666666664
24,router,NOUN,1,16.666666666666664
24,wireless,ADJ,1,16.666666666666664
34,advice,NOUN,1,9.090909090909092
34,augmented,ADJ,1,9.090909090909092
34,glass,NOUN,1,9.090909090909092
34,motion,NOUN,1,9.090909090909092
34,nausea,NOUN,1,9.090909090909092
34,pair,NOUN,1,9.090909090909092
34,reality,NOUN,1,9.090909090909092
34,realtime,ADJ,1,9.090909090909092
34,sickness,NOUN,1,9.090909090909092
34,sign,NOUN,1,9.090909090909092
34,symptom,NOUN,1,9.090909090909092
35,heart,NOUN,1,9.090909090909092
35,necklace,NOUN,1,9.090909090909092
35,other,ADJ,1,9.090909090909092
35,pendant,NOUN,2,18.181818181818183
35,people,NOUN,1,9.090909090909092
35,pulse,NOUN,1,9.090909090909092
35,rate,NOUN,1,9.090909090909092
35,sync,NOUN,1,9.090909090909092
35,technology,NOUN,1,9.090909090909092
35,wireless,ADJ,1,9.090909090909092
36,bracelet,NOUN,2,18.181818181818183
36,haptic,ADJ,1,9.090909090909092
36,heartbeat,NOUN,1,9.090909090909092
36,other,NOUN,2,18.181818181818183
36,people,NOUN,1,9.090909090909092
36,person,NOUN,1,9.090909090909092
36,sensor,NOUN,1,9.090909090909092
36,technology,NOUN,1,9.090909090909092
36,vibration,NOUN,1,9.090909090909092
37,device,NOUN,3,25.0
37,heartbeat,NOUN,1,8.333333333333332
37,other,ADJ,1,8.333333333333332
37,people,NOUN,1,8.333333333333332
37,person,NOUN,2,16.666666666666664
37,sound,ADJ,1,8.333333333333332
37,speaker,NOUN,1,8.333333333333332
37,sync,NOUN,1,8.333333333333332
37,wave,NOUN,1,8.333333333333332
38,body,NOUN,1,11.11111111111111
38,combination,NOUN,1,11.11111111111111
38,light,NOUN,1,11.11111111111111
38,motion,NOUN,1,11.11111111111111
38,nausea,NOUN,1,11.11111111111111
38,necklace,NOUN,1,11.11111111111111
38,sickness,NOUN,1,11.11111111111111
38,sound,NOUN,1,11.11111111111111
38,vapor,NOUN,1,11.11111111111111
39,bracelet,NOUN,1,10.0
39,certain,ADJ,1,10.0
39,conductance,NOUN,1,10.0
39,level,NOUN,2,20.0
39,scent,NOUN,1,10.0
39,skin,NOUN,1,10.0
39,stress,NOUN,2,20.0
39,threshold,NOUN,1,10.0
45,pillow,NOUN,1,50.0
45,travel,NOUN,1,50.0
46,display,NOUN,1,25.0
46,laptop,NOUN,1,25.0
46,monitor,NOUN,1,25.0
46,portable,ADJ,1,25.0
47,stay,NOUN,1,33.33333333333333
47,sure,ADJ,1,33.33333333333333
47,user,NOUN,1,33.33333333333333
48,mask,NOUN,1,100.0
49,app,NOUN,1,12.5
49,device,NOUN,1,12.5
49,mobile,ADJ,1,12.5
49,notification,NOUN,1,12.5
49,software,NOUN,1,12.5
49,solution,NOUN,1,12.5
49,unnecessary,ADJ,1,12.5
49,user,NOUN,1,12.5
50,ambient,ADJ,1,10.0
50,amount,NOUN,1,10.0
50,commute,NOUN,1,10.0
50,device,NOUN,1,10.0
50,environment,NOUN,1,10.0
50,focused,ADJ,1,10.0
50,light,NOUN,1,10.0
50,relaxed,ADJ,1,10.0
50,smartphone,NOUN,1,10.0
50,user,NOUN,1,10.0
