vector,word,Maxpos_x,wordCount_x,percent_of_total_x,Maxpos_y,wordCount_y,percent_of_total_y
8,file,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,paper,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,reading,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,transit,NOUN,1,12.5,NOUN,1,0.1620745542949757
8,user,NOUN,1,12.5,NOUN,14,2.26904376012966
33,user,NOUN,1,33.33333333333333,NOUN,14,2.26904376012966
34,user,NOUN,1,20.0,NOUN,14,2.26904376012966
65,user,NOUN,1,20.0,NOUN,14,2.26904376012966
66,user,NOUN,1,11.11111111111111,NOUN,14,2.26904376012966
67,user,NOUN,1,5.555555555555555,NOUN,14,2.26904376012966
76,user,NOUN,1,11.11111111111111,NOUN,14,2.26904376012966
77,user,NOUN,1,10.0,NOUN,14,2.26904376012966
78,user,NOUN,1,14.285714285714285,NOUN,14,2.26904376012966
83,user,NOUN,2,25.0,NOUN,14,2.26904376012966
87,user,NOUN,1,12.5,NOUN,14,2.26904376012966
88,user,NOUN,1,11.11111111111111,NOUN,14,2.26904376012966
89,user,NOUN,1,14.285714285714285,NOUN,14,2.26904376012966
9,call,NOUN,1,16.666666666666664,NOUN,3,0.4862236628849271
54,call,NOUN,1,16.666666666666664,NOUN,3,0.4862236628849271
88,call,NOUN,1,11.11111111111111,NOUN,3,0.4862236628849271
9,earring,NOUN,1,16.666666666666664,NOUN,1,0.1620745542949757
9,hard,ADJ,1,16.666666666666664,ADJ,1,0.1620745542949757
9,headset,NOUN,1,16.666666666666664,NOUN,1,0.1620745542949757
9,smart,ADJ,1,16.666666666666664,ADJ,2,0.3241491085899514
115,smart,ADJ,1,20.0,ADJ,2,0.3241491085899514
9,unobtrusive,ADJ,1,16.666666666666664,ADJ,1,0.1620745542949757
10,breathing,NOUN,1,12.5,NOUN,1,0.1620745542949757
10,flight,NOUN,1,12.5,NOUN,1,0.1620745542949757
10,long,ADJ,1,12.5,ADJ,1,0.1620745542949757
10,mechanic,NOUN,1,12.5,NOUN,1,0.1620745542949757
10,neck,NOUN,1,12.5,NOUN,1,0.1620745542949757
10,pattern,NOUN,1,12.5,NOUN,1,0.1620745542949757
10,pillow,NOUN,1,12.5,NOUN,1,0.1620745542949757
11,favorite,ADJ,1,11.11111111111111,ADJ,1,0.1620745542949757
11,hotel,NOUN,1,11.11111111111111,NOUN,1,0.1620745542949757
11,interface,NOUN,1,11.11111111111111,NOUN,7,1.1345218800648298
13,interface,NOUN,1,16.666666666666664,NOUN,7,1.1345218800648298
14,interface,NOUN,1,11.11111111111111,NOUN,7,1.1345218800648298
78,interface,NOUN,1,14.285714285714285,NOUN,7,1.1345218800648298
82,interface,NOUN,1,6.666666666666667,NOUN,7,1.1345218800648298
83,interface,NOUN,1,12.5,NOUN,7,1.1345218800648298
84,interface,NOUN,1,11.11111111111111,NOUN,7,1.1345218800648298
