word,Maxpos,wordCount,percent_of_total
device,NOUN,15,4.261363636363636
user,NOUN,14,3.977272727272727
light,NOUN,11,3.125
surface,NOUN,7,1.9886363636363635
wrist,NOUN,6,1.7045454545454544
pillow,NOUN,6,1.7045454545454544
sound,NOUN,6,1.7045454545454544
posture,NOUN,6,1.7045454545454544
name,NOUN,5,1.4204545454545454
display,NOUN,5,1.4204545454545454
other,NOUN,5,1.4204545454545454
level,NOUN,4,1.1363636363636365
cm,NOUN,4,1.1363636363636365
task,NOUN,4,1.1363636363636365
people,NOUN,4,1.1363636363636365
massage,NOUN,4,1.1363636363636365
digital,ADJ,3,0.8522727272727272
schedule,NOUN,3,0.8522727272727272
smartphone,NOUN,3,0.8522727272727272
intensity,NOUN,3,0.8522727272727272
portable,ADJ,3,0.8522727272727272
plastic,NOUN,3,0.8522727272727272
color,NOUN,3,0.8522727272727272
person,NOUN,3,0.8522727272727272
ambience,NOUN,3,0.8522727272727272
bracelet,NOUN,3,0.8522727272727272
environment,NOUN,2,0.5681818181818182
wave,NOUN,2,0.5681818181818182
natural,ADJ,2,0.5681818181818182
wallmounted,ADJ,2,0.5681818181818182
motion,NOUN,2,0.5681818181818182
stress,NOUN,2,0.5681818181818182
strain,NOUN,2,0.5681818181818182
warm,ADJ,2,0.5681818181818182
soft,ADJ,2,0.5681818181818182
smart,ADJ,2,0.5681818181818182
button,NOUN,2,0.5681818181818182
material,NOUN,2,0.5681818181818182
rest,NOUN,2,0.5681818181818182
heartbeat,NOUN,2,0.5681818181818182
sickness,NOUN,2,0.5681818181818182
interactive,ADJ,2,0.5681818181818182
several,ADJ,2,0.5681818181818182
setting,NOUN,2,0.5681818181818182
sensor,NOUN,2,0.5681818181818182
nausea,NOUN,2,0.5681818181818182
background,NOUN,2,0.5681818181818182
desk,NOUN,2,0.5681818181818182
noise,NOUN,2,0.5681818181818182
current,ADJ,2,0.5681818181818182
sync,NOUN,2,0.5681818181818182
control,NOUN,2,0.5681818181818182
computer,NOUN,2,0.5681818181818182
technology,NOUN,2,0.5681818181818182
day,NOUN,2,0.5681818181818182
wireless,ADJ,2,0.5681818181818182
tangible,ADJ,2,0.5681818181818182
pen,NOUN,2,0.5681818181818182
pendant,NOUN,2,0.5681818181818182
necklace,NOUN,2,0.5681818181818182
router,NOUN,1,0.2840909090909091
relaxing,ADJ,1,0.2840909090909091
round,ADJ,1,0.2840909090909091
review,NOUN,1,0.2840909090909091
wood,NOUN,1,0.2840909090909091
whiteboard,NOUN,1,0.2840909090909091
work,NOUN,1,0.2840909090909091
reminder,NOUN,1,0.2840909090909091
point,NOUN,1,0.2840909090909091
relaxed,ADJ,1,0.2840909090909091
width,NOUN,1,0.2840909090909091
wind,NOUN,1,0.2840909090909091
progress,NOUN,1,0.2840909090909091
rectangular,ADJ,1,0.2840909090909091
recognition,NOUN,1,0.2840909090909091
proper,ADJ,1,0.2840909090909091
realtime,ADJ,1,0.2840909090909091
reality,NOUN,1,0.2840909090909091
scent,NOUN,1,0.2840909090909091
rate,NOUN,1,0.2840909090909091
rain,NOUN,1,0.2840909090909091
pulse,NOUN,1,0.2840909090909091
public,ADJ,1,0.2840909090909091
unnecessary,ADJ,1,0.2840909090909091
simple,ADJ,1,0.2840909090909091
white,ADJ,1,0.2840909090909091
time,NOUN,1,0.2840909090909091
variety,NOUN,1,0.2840909090909091
symptom,NOUN,1,0.2840909090909091
tablet,NOUN,1,0.2840909090909091
vapor,NOUN,1,0.2840909090909091
therapy,NOUN,1,0.2840909090909091
threshold,NOUN,1,0.2840909090909091
tissue,NOUN,1,0.2840909090909091
