vector,word,Maxpos_x,wordCount_x,percent_of_total_x,Maxpos_y,wordCount_y,percent_of_total_y
1,break,NOUN,1,20.0,NOUN,4,0.4127966976264189
14,break,NOUN,1,11.11111111111111,NOUN,4,0.4127966976264189
56,break,NOUN,1,50.0,NOUN,4,0.4127966976264189
113,break,NOUN,1,20.0,NOUN,4,0.4127966976264189
1,bus,NOUN,1,20.0,NOUN,2,0.2063983488132094
165,bus,NOUN,1,14.285714285714285,NOUN,2,0.2063983488132094
1,meditation,NOUN,1,20.0,NOUN,2,0.2063983488132094
26,meditation,NOUN,1,11.11111111111111,NOUN,2,0.2063983488132094
1,study,NOUN,1,20.0,NOUN,2,0.2063983488132094
107,study,NOUN,1,8.333333333333332,NOUN,2,0.2063983488132094
1,wearable,NOUN,1,20.0,NOUN,9,0.9287925696594428
113,wearable,ADJ,1,20.0,NOUN,9,0.9287925696594428
154,wearable,ADJ,1,6.666666666666667,NOUN,9,0.9287925696594428
155,wearable,ADJ,1,12.5,NOUN,9,0.9287925696594428
156,wearable,ADJ,1,11.11111111111111,NOUN,9,0.9287925696594428
159,wearable,ADJ,1,12.5,NOUN,9,0.9287925696594428
162,wearable,ADJ,1,20.0,NOUN,9,0.9287925696594428
171,wearable,ADJ,1,25.0,NOUN,9,0.9287925696594428
203,wearable,ADJ,1,11.11111111111111,NOUN,9,0.9287925696594428
2,affective,ADJ,1,33.33333333333333,ADJ,1,0.1031991744066047
2,computing,NOUN,1,33.33333333333333,NOUN,1,0.1031991744066047
2,stress,NOUN,1,33.33333333333333,NOUN,3,0.3095975232198142
178,stress,NOUN,2,20.0,NOUN,3,0.3095975232198142
3,bot,NOUN,1,20.0,NOUN,1,0.1031991744066047
3,emotional,ADJ,1,20.0,ADJ,1,0.1031991744066047
3,format,NOUN,1,20.0,NOUN,1,0.1031991744066047
3,support,NOUN,1,20.0,NOUN,1,0.1031991744066047
3,tangible,ADJ,1,20.0,ADJ,6,0.6191950464396285
5,tangible,ADJ,1,20.0,ADJ,6,0.6191950464396285
6,tangible,ADJ,1,25.0,ADJ,6,0.6191950464396285
83,tangible,ADJ,1,2.1739130434782608,ADJ,6,0.6191950464396285
84,tangible,ADJ,1,2.5,ADJ,6,0.6191950464396285
150,tangible,ADJ,1,14.285714285714285,ADJ,6,0.6191950464396285
4,different,ADJ,1,20.0,ADJ,3,0.3095975232198142
22,different,ADJ,1,12.5,ADJ,3,0.3095975232198142
28,different,ADJ,1,5.88235294117647,ADJ,3,0.3095975232198142
4,friend,NOUN,1,20.0,NOUN,1,0.1031991744066047
4,people,NOUN,1,20.0,NOUN,21,2.1671826625387
6,people,NOUN,1,25.0,NOUN,21,2.1671826625387
15,people,NOUN,2,22.22222222222222,NOUN,21,2.1671826625387
16,people,NOUN,1,9.090909090909092,NOUN,21,2.1671826625387
17,people,NOUN,1,9.090909090909092,NOUN,21,2.1671826625387
18,people,NOUN,1,12.5,NOUN,21,2.1671826625387
20,people,NOUN,1,20.0,NOUN,21,2.1671826625387
26,people,NOUN,1,11.11111111111111,NOUN,21,2.1671826625387
102,people,NOUN,1,16.666666666666664,NOUN,21,2.1671826625387
104,people,NOUN,1,16.666666666666664,NOUN,21,2.1671826625387
105,people,NOUN,1,20.0,NOUN,21,2.1671826625387
109,people,NOUN,1,7.142857142857142,NOUN,21,2.1671826625387
110,people,NOUN,1,16.666666666666664,NOUN,21,2.1671826625387
115,people,NOUN,1,5.555555555555555,NOUN,21,2.1671826625387
158,people,NOUN,1,8.333333333333332,NOUN,21,2.1671826625387
159,people,NOUN,1,12.5,NOUN,21,2.1671826625387
174,people,NOUN,1,9.090909090909092,NOUN,21,2.1671826625387
175,people,NOUN,1,9.090909090909092,NOUN,21,2.1671826625387
176,people,NOUN,1,8.333333333333332,NOUN,21,2.1671826625387
202,people,NOUN,1,16.666666666666664,NOUN,21,2.1671826625387
4,personality,NOUN,1,20.0,NOUN,1,0.1031991744066047
4,vibe,NOUN,1,20.0,NOUN,1,0.1031991744066047
5,collaborate,ADJ,1,20.0,ADJ,1,0.1031991744066047
5,light,NOUN,1,20.0,NOUN,19,1.96078431372549
22,light,NOUN,1,12.5,NOUN,19,1.96078431372549
26,light,NOUN,1,11.11111111111111,NOUN,19,1.96078431372549
64,light,NOUN,1,14.285714285714285,NOUN,19,1.96078431372549
75,light,NOUN,5,12.82051282051282,NOUN,19,1.96078431372549
76,light,ADJ,3,7.894736842105263,NOUN,19,1.96078431372549
